Raza,Hipoalergenico,Vida_Min,Vida_Max,Peso_Macho,Peso_Hembra,Descripcion,Vida_Promedio,Peso_Promedio,Longevidad,Tamaño,Aptitud
American Hairless Terrier,No,12,14,7,7,"The American Hairless Terrier is a small to medium-sized breed of terrier that originated in the United States. It is the hairless variety of the Rat Terrier, and was developed by breeding selectively for the gene that causes the hairlessness. The Hairless variety is considered to have a more mellow and laid-back temperament than its coated counterpart, and is an active and intelligent breed that loves to please and stay busy. The breed stands between 12-16 inches at the shoulder and comes in a variety of colors.",13.0,7.0,Media,Pequeño,General
American Leopard Hound,No,12,15,40,35,"The American Leopard Hound is a large, athletic dog breed that was originally bred for hunting. They are known for their spotted coats and keen sense of smell.",13.5,37.5,Alta,Grande,Cazador
American Staffordshire Terrier,No,12,14,40,40,"The American Staffordshire Terrier is a medium-sized breed of dog that was originally bred for dog fighting. They are intelligent, loyal, and protective, and make excellent family pets.",13.0,40.0,Media,Grande,Guardián
American Water Spaniel,No,12,14,20,20,"The American Water Spaniel is a medium-sized breed of dog that was originally bred in the United States for hunting waterfowl. They are intelligent, energetic, and eager to please, and make excellent hunting dogs.",13.0,20.0,Media,Mediano,Cazador
Anatolian Shepherd Dog,No,12,14,70,70,"The Anatolian Shepherd Dog is a large breed of flock guardian dog that originated in Turkey. It is a powerful and athletic breed, with a long, coarse coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Anatolian Shepherd Dog is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",13.0,70.0,Media,Gigante,Guardián
Appenzeller Sennenhund,No,12,15,45,45,"The Appenzeller Sennenhund is a large breed of mountain dog that originated in Switzerland. It is a powerful and athletic breed, with a thick, double coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Appenzeller Sennenhund is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",13.5,45.0,Alta,Grande,Compañía
Australian Cattle Dog,No,12,15,20,20,"The Australian Cattle Dog is a medium-sized breed of dog that was originally bred in Australia for herding and guarding livestock. They are intelligent, energetic, and hardworking, and make excellent working dogs.",13.5,20.0,Alta,Mediano,Guardián
Australian Kelpie,No,12,14,20,20,"The Australian Kelpie is a lively and intelligent herding dog from Australia. They are active, friendly, and loyal, and make great family pets. Australian Kelpies have a thick, double coat that can be any color. They are easy to train and require plenty of exercise and mental stimulation to stay healthy and happy.",13.0,20.0,Media,Mediano,Compañía
Australian Shepherd,No,12,15,30,25,"The Australian Shepherd is a medium-sized breed with a medium-length, double coat. They have a wedge-shaped head and a muscular body, with a straight, medium-length tail. The Australian Shepherd is an intelligent working dog that is eager to please and loves to be around its family. They are known for their loyalty and are often used in agility, obedience, and herding events.",13.5,27.5,Alta,Grande,Compañía
Australian Stumpy Tail Cattle Dog,No,12,15,20,20,"The Australian Stumpy Tail Cattle Dog is a medium-sized herding dog breed with a distinctive stumpy tail and a smooth, dense coat that can be blue, red, or fawn in color. They are intelligent, energetic, and obedient, and were originally bred to help farmers drive their cattle over long distances.",13.5,20.0,Alta,Mediano,General
Australian Terrier,No,14,16,6,6,"The Australian Terrier is a small breed of terrier that originated in Australia. It is a compact and lively breed, with a short, wiry coat. Its head is large and round, with small, erect ears. Its legs are short and strong, and its tail is usually docked. The Australian Terrier is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs regular exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",15.0,6.0,Alta,Pequeño,Compañía
Azawakh,No,12,14,30,30,"The Azawakh is a small and slender breed of dog that was originally bred in Africa for hunting and guarding. They are intelligent, alert, and athletic, and make excellent companion dogs.",13.0,30.0,Media,Grande,Cazador
Barbado da Terceira,No,12,15,20,20,"The Barbado da Terceira is a large, working breed of dog that originated in the Azores. It is a strong and powerful breed, with a short, wiry coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Barbado da Terceira is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",13.5,20.0,Alta,Mediano,Compañía
Barbet,No,12,14,30,30,"The Barbet is an ancient breed of French water dog. They are active, friendly, and highly intelligent, and make great family pets. Barbets have a unique, woolly coat that is curly or wavy and can be any color. They have webbed feet, and are very good swimmers. Barbets bond closely with their family, and do best in homes where they get plenty of attention and exercise.",13.0,30.0,Media,Grande,Compañía
Basenji,No,14,16,10,10,"The Basenji is a small and agile breed of dog that was originally bred in Africa for hunting small game. They are intelligent, independent, and alert, and make excellent companion dogs.",15.0,10.0,Alta,Pequeño,Cazador
Basset Fauve de Bretagne,No,12,15,25,25,"The Basset Fauve de Bretagne is a small and playful breed of dog that was originally bred in France for hunting small game. They are intelligent, affectionate, and loyal, and make excellent companion dogs.",13.5,25.0,Alta,Mediano,Cazador
Basset Hound,No,12,14,29,29,"The Basset Hound is a small and playful breed of dog that was originally bred in France for hunting small game. They are intelligent, affectionate, and loyal, and make excellent companion dogs.",13.0,29.0,Media,Grande,Cazador
Bavarian Mountain Scent Houn,No,12,15,30,30,"The Bavarian Mountain Scent Hound is a medium-sized breed of dog that was originally bred in Germany for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",13.5,30.0,Alta,Grande,Cazador
Beagle,No,12,15,11,11,The Beagle is a small to medium-sized dog breed that was originally bred for hunting. They are known for their cheerful dispositions and keen sense of smell.,13.5,11.0,Alta,Mediano,Cazador
Bearded Collie,No,12,14,25,25,"The Bearded Collie is a medium-sized herding dog with a shaggy, thick double coat and a distinctive ""beard"" around the face.",13.0,25.0,Media,Mediano,General
Beauceron,No,12,14,30,30,"The Beauceron is a large and powerful breed of dog that was originally bred in France for herding and guarding livestock. They are intelligent, loyal, and protective, and make excellent working dogs.",13.0,30.0,Media,Grande,Guardián
Bedlington Terrier,No,12,14,9,9,"The Bedlington Terrier is a small and athletic breed of dog that was originally bred in England for hunting small game. They are intelligent, playful, and affectionate, and make excellent companion dogs.",13.0,9.0,Media,Pequeño,Cazador
Belgian Laekenois,No,12,15,30,30,"The Belgian Laekenois is a strong and agile breed with a wiry, rough coat. They have a powerful, muscular frame and a large, rectangular head with medium-sized eyes. The Belgian Laekenois is an intelligent and alert breed with an independent and lively nature. They are a loyal and devoted companion for families and are known for their protective nature and courage.",13.5,30.0,Alta,Grande,Guardián
Belgian Malinois,No,12,14,30,25,"The Belgian Malinois is a medium-sized herding breed that originated in Belgium. It is an active and intelligent breed that is loyal and devoted to its family. The Belgian Malinois stands between 22-26 inches at the shoulder and has a short, dense coat that can come in various colors and patterns.",13.0,27.5,Media,Grande,Compañía
Belgian Sheepdog,No,12,14,30,30,"The Belgian Sheepdog is a large and intelligent breed of dog that was originally bred in Belgium for herding and guarding livestock. They are loyal, protective, and hardworking, and make excellent working dogs.",13.0,30.0,Media,Grande,Guardián
Belgian Tervuren,No,12,15,25,25,"The Belgian Tervuren is a medium-sized breed of herding dog from Belgium. These dogs are medium in size, with a thick double coat of fur to protect them from the cold. They have an energetic and intelligent demeanor, with an instinct for herding and working. They are highly trainable and obedient, but require firm and consistent training to be obedient. They are loyal and devoted to their family, with an independent nature that makes them well suited for herding and guard work.",13.5,25.0,Alta,Mediano,Guardián
Bergamasco Sheepdog,No,12,15,45,45,"The Bergamasco Sheepdog is a large breed of herding dog from the Bergamasco region of Italy. These dogs are large in size, with a thick and shaggy coat of fur. They have a dignified and loyal demeanor, making them excellent guard and companion dogs. They are highly intelligent and trainable, with an instinct to herd and protect their family and property. They are courageous and alert, with an independent nature that makes them well suited for herding and guard work.",13.5,45.0,Alta,Grande,Guardián
Berger Picard,No,12,14,25,25,"The Berger Picard is a medium-sized breed of dog that was originally bred in France for herding and guarding livestock. They are intelligent, loyal, and protective, and make excellent working dogs.",13.0,25.0,Media,Mediano,Guardián
Bernese Mountain Dog,No,8,10,70,70,"The Bernese Mountain Dog is a large, sturdy dog breed with a thick, silky coat, often black, white, and rust in color. Originally bred to herd cattle and pull carts in the Swiss mountains, they are known for their intelligence, strength, and agility.",9.0,70.0,Corta,Gigante,General
Bichon Frise,Sí,14,16,5,5,"The Bichon Frise is a small and playful breed of dog that was originally bred in France as a companion dog. They are intelligent, affectionate, and loyal, and make excellent family pets.",15.0,5.0,Alta,Pequeño,Compañía
Biewer Terrier,No,14,16,3,3,"The Biewer Terrier is a small and playful breed of dog that was originally bred in Germany for hunting small game. They are intelligent, affectionate, and loyal, and make excellent companion dogs.",15.0,3.0,Alta,Pequeño,Cazador
Black and Tan Coonhound,No,12,15,30,30,"The Black and Tan Coonhound is a large and muscular breed of dog that was originally bred for hunting raccoons. They are intelligent, energetic, and determined, and make excellent hunting dogs.",13.5,30.0,Alta,Grande,Cazador
Black Russian Terrier,No,10,12,60,60,"The Black Russian Terrier is a large and powerful breed of dog that was originally bred in Russia for guarding and protecting property. They are intelligent, loyal, and protective, and make excellent guard dogs.",11.0,60.0,Media,Gigante,Guardián
Bloodhound,No,10,12,54,54,"The Bloodhound is a large scent hound, bred for tracking and hunting humans or animals by their scent.",11.0,54.0,Media,Gigante,Cazador
Bluetick Coonhound,No,12,14,30,30,"The Bluetick Coonhound is a large and athletic breed of dog that was originally bred in the United States for hunting raccoons. They are intelligent, energetic, and determined, and make excellent hunting dogs.",13.0,30.0,Media,Grande,Cazador
Boerboel,No,10,12,80,80,"The Boerboel is a large, powerful and confident mastiff-type breed from South Africa, known for its loyalty, strength, and protective instincts.",11.0,80.0,Media,Gigante,Guardián
Bohemian Shepherd,No,12,14,30,30,The Bohemian Shepherd is a medium-sized herding breed that originated in the Czech Republic. It is an active and intelligent breed that is loyal and friendly. The Bohemian Shepherd stands between 17-21 inches at the shoulder and has a medium-length coat that can come in various colors and patterns.,13.0,30.0,Media,Grande,General
Bolognese,No,14,16,7,7,"The Bolognese is a small and playful breed of dog that was originally bred in Italy as a companion dog. They are intelligent, affectionate, and loyal, and make excellent family pets.",15.0,7.0,Alta,Pequeño,Compañía
Border Collie,No,12,16,30,25,"The Border Collie is a medium-sized breed of herding dog from the borders of England and Scotland. These dogs are medium in size, with a thick double coat of fur to protect them from the cold. They have an energetic and intelligent demeanor, with an instinct for herding and working. They are highly trainable and obedient, but require firm and consistent training to be obedient. They are loyal and devoted to their family, with an independent nature that makes them well suited for herding and guard work.",14.0,27.5,Alta,Grande,Guardián
Border Terrier,No,14,16,8,8,"The Border Terrier is a small and energetic breed of dog that was originally bred in England for hunting small game. They are intelligent, playful, and affectionate, and make excellent companion dogs.",15.0,8.0,Alta,Pequeño,Cazador
Borzoi,No,10,12,45,35,"The Borzoi is a large and athletic breed of dog that was originally bred in Russia for hunting wolves and other large game. They are intelligent, independent, and graceful, and make excellent companion dogs.",11.0,40.0,Media,Grande,Cazador
Boston Terrier,No,12,14,11,11,"The Boston Terrier is a small, intelligent dog breed that originated in the United States. They are known for their friendly dispositions and distinctive black and white coats.",13.0,11.0,Media,Mediano,General
Bouvier des Flandres,No,10,14,40,35,"The Bouvier des Flandres is a large and powerful breed of dog from the Flanders region of Belgium. These dogs are very large in size, with a thick double coat of wire-haired fur. They have a dignified but energetic demeanor, making them excellent working dogs. They are highly intelligent and trainable, with an instinct to protect their family and property. They are brave and loyal, with an independent nature that makes them well suited for herding and guard work.",12.0,37.5,Media,Grande,Guardián
Boxer,No,10,12,32,29,"The Boxer is a large and muscular breed of dog that was originally bred in Germany for guarding and protecting property. They are intelligent, loyal, and protective, and make excellent guard dogs.",11.0,30.5,Media,Grande,Guardián
Boykin Spaniel,No,12,15,16,16,"The Boykin Spaniel is a medium-sized breed of dog that was originally bred in the United States for hunting waterfowl. They are intelligent, friendly, and eager to please, and make excellent hunting dogs.",13.5,16.0,Alta,Mediano,Cazador
Bracco Italiano,No,12,14,30,30,"The Bracco Italiano is a large breed of gun dog that originated in Italy. It is a powerful and athletic breed, with a long, wiry coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Bracco Italiano is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",13.0,30.0,Media,Grande,Compañía
Braque du Bourbonnais,No,12,15,30,30,"The Braque du Bourbonnais is a medium-sized breed of hunting dog from the Bourbonnais region of France. These dogs are medium in size, with a short and wiry coat of fur. They have a friendly and energetic demeanor, with an instinct for hunting. They are highly intelligent and trainable, but require firm and consistent training to be obedient. They are loyal and devoted to their family, but can be stubborn and independent at times.",13.5,30.0,Alta,Grande,Cazador
Braque Francais Pyrenean,No,12,14,30,30,"The Braque Francais Pyrenean is a medium-sized, versatile breed that is known for its intelligence, trainability, and love of the outdoors. This breed is native to the Pyrenees Mountains in France, where it was originally used for hunting and pointing game.",13.0,30.0,Media,Grande,Cazador
Briard,No,10,12,40,35,"The Briard is a large, muscular breed with a long, shaggy coat that is typically black, tawny, or gray. It is known for its loyalty and protective instincts.",11.0,37.5,Media,Grande,Guardián
Brittany,No,12,14,25,25,"The Brittany is a medium-sized breed with a short, dense coat and a muscular, athletic build. It is known for its high energy level and its ability to excel in a variety of activities, including hunting, agility, and obedience.",13.0,25.0,Media,Mediano,Cazador
Broholmer,No,8,10,30,30,"The Broholmer is a large, powerful dog breed that was originally bred in Denmark for hunting.",9.0,30.0,Corta,Grande,Cazador
Brussels Griffon,No,12,15,4,4,"The Brussels Griffon is a small, playful breed that is known for its intelligence, comical expression, and affectionate nature. This breed is native to Belgium, where it was originally kept as a companion and lapdog.",13.5,4.0,Alta,Pequeño,Compañía
Bulldog,No,8,10,25,25,"Bulldogs are a strong, stocky breed with a short, smooth coat. They have a wide head and a thick neck, with a short muzzle and deep-set eyes with a determined, friendly expression. Bulldogs are known for their courage and tenacity and are a popular pet thanks to their even temperament and friendly, loyal nature.",9.0,25.0,Corta,Mediano,Compañía
Bullmastiff,No,8,10,59,54,"The Bullmastiff is a large and powerful breed of dog that was originally bred in England for guarding and protecting property. They are intelligent, loyal, and protective, and make excellent guard dogs.",9.0,56.5,Corta,Gigante,Guardián
Bull Terrier,No,12,15,22,20,The Bull Terrier is a medium-sized breed of terrier that was developed in the 19th century in England. It is an active and energetic breed that is loyal and friendly. The Bull Terrier stands between 18-22 inches at the shoulder and has a short and dense coat that can come in various colors.,13.5,21.0,Alta,Mediano,General
Cairn Terrier,No,14,16,6,6,"The Cairn Terrier is a small and energetic breed of dog that was originally bred in Scotland for hunting small game. They are intelligent, playful, and affectionate, and make excellent companion dogs.",15.0,6.0,Alta,Pequeño,Cazador
Canaan Dog,No,12,14,20,20,"The Canaan Dog is a medium-sized, athletic breed that is known for its intelligence, trainability, and alertness. This breed is native to the Middle East, where it was originally used for herding and guarding.",13.0,20.0,Media,Mediano,Guardián
Cane Corso,No,10,12,50,45,"The Cane Corso is a large and powerful breed of dog that was originally bred in Italy for guarding and protecting property. They are intelligent, loyal, and protective, and make excellent guard dogs.",11.0,47.5,Media,Gigante,Guardián
Cardigan Welsh Corgi,No,12,15,15,14,"The Cardigan Welsh Corgi is a medium-sized herding breed of dog that originated in Wales. It is one of two breeds known as Welsh Corgi, the other being the Pembroke Welsh Corgi. Cardigans are known for their long, low-set bodies and short legs. They have strong bodies, with a deep chest and strong legs. They have a medium-length tail that is usually docked, and their coat is long and dense. Cardigans have a friendly and cheerful personality, and they make excellent family dogs. They are loyal and intelligent, and they enjoy being active.",13.5,14.5,Alta,Mediano,Compañía
Carolina Dog,No,12,14,14,14,"The Carolina Dog is a medium-sized breed of dog that originated in the United States. It is an active and energetic breed, with a short, smooth coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Carolina Dog is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",13.0,14.0,Media,Mediano,Compañía
Catahoula Leopard Dog,No,12,14,32,32,"The Catahoula Leopard Dog is a large and powerful breed of dog that was originally bred in the United States for herding and guarding livestock. They are intelligent, loyal, and protective, and make excellent working dogs.",13.0,32.0,Media,Grande,Guardián
Caucasian Shepherd Dog,No,15,20,90,70,"The Caucasian Shepherd Dog is a large and powerful breed of dog from the Caucasus Mountains region. These dogs are large in size, with a thick double coat to protect them from the cold. They have a regal bearing, with a proud and confident demeanor. They are highly intelligent and loyal, making them excellent guard dogs. They are courageous and alert, with an instinct to protect their family and property. They are highly trainable, but require firm and consistent training.",17.5,80.0,Alta,Gigante,Guardián
Cavalier King Charles Spaniel,No,12,15,8,8,"The Cavalier King Charles Spaniel is a small breed that originated in the United Kingdom. They have a long, silky coat, and come in a variety of colors. They are a gentle and loving breed, and make good family companions. They are an active breed, and need plenty of exercise and stimulation. They are also very loyal and devoted to their owners.",13.5,8.0,Alta,Pequeño,Compañía
Central Asian Shepherd Dog,No,12,14,90,70,"The Central Asian Shepherd Dog is a large, powerful breed that is known for its intelligence, loyalty, and protectiveness. This breed is native to Central Asia, where it was originally used to guard flocks of sheep and protect families and their homes.",13.0,80.0,Media,Gigante,Guardián
Cesky Terrier,No,12,14,8,8,"The Cesky Terrier is a small, sturdy breed that is known for its intelligence, playfulness, and loyalty. This breed is native to the Czech Republic, where it was originally used to hunt small game and vermin.",13.0,8.0,Media,Pequeño,Cazador
Chesapeake Bay Retriever,No,12,14,36,36,"The Chesapeake Bay Retriever is a large and muscular breed of dog that was originally bred in the United States for retrieving waterfowl. They are intelligent, friendly, and eager to please, and make excellent hunting dogs.",13.0,36.0,Media,Grande,Cazador
Chihuahua,No,14,16,3,3,"The Chihuahua is a small, energetic breed that is known for its intelligence, loyalty, and big personality. This breed is native to Mexico, where it was originally kept as a companion and lapdog.",15.0,3.0,Alta,Pequeño,Compañía
Chinese Crested,Sí,14,16,5,5,"The Chinese Crested is a small, hairless breed that is known for its delicate appearance and playful personality.",15.0,5.0,Alta,Pequeño,General
Chinese Shar-Pei,No,12,14,25,25,"The Chinese Shar-Pei is a large and muscular breed of dog that was originally bred in China for guarding and protecting property. They are intelligent, loyal, and protective, and make excellent guard dogs.",13.0,25.0,Media,Mediano,Guardián
Chinook,No,12,14,29,29,"The Chinook is a large and powerful breed of dog that was originally bred in the United States for sledding and guarding. They are intelligent, loyal, and hardworking, and make excellent working dogs.",13.0,29.0,Media,Grande,Guardián
Chow Chow,No,12,15,32,32,"The Chow Chow is a medium-sized breed of dog that originated in China. It is an independent and loyal breed that is known for its distinctive blue-black tongue. The Chow Chow stands between 17-20 inches at the shoulder and has a dense, long coat that can come in various colors.",13.5,32.0,Alta,Grande,General
Cirneco dell'Etna,No,12,14,14,14,"The Cirneco dell'Etna is a small and slender breed of dog that was originally bred in Sicily for hunting rabbits. They are intelligent, energetic, and independent, and make excellent companion dogs.",13.0,14.0,Media,Mediano,Cazador
Clumber Spaniel,No,12,14,32,32,"The Clumber Spaniel is a large, affectionate and gentle gun dog. It is an ancient breed, first developed in the English county of Clumber in the 1700s. Clumbers are known for their thick white coat, which is usually double-coated, and is relatively low-maintenance. They make excellent family pets, but they also excel in the field as hunting dogs. Clumbers can be very sensitive and they do not respond well to harsh treatment. They are loyal and devoted to their family and are usually good with children.",13.0,32.0,Media,Grande,Cazador
Cocker Spaniel,No,12,15,15,12,"The Cocker Spaniel is a medium-sized breed of dog that was originally bred in England for flushing and retrieving game. They are intelligent, friendly, and eager to please, and make excellent hunting dogs.",13.5,13.5,Alta,Mediano,Cazador
Collie,No,12,14,30,30,"The Collie is a medium-sized herding breed that originated in Scotland. It is an active and intelligent breed that is loyal and devoted to its family. The Collie stands between 22-26 inches at the shoulder and has a long, dense coat that can come in various colors and patterns.",13.0,30.0,Media,Grande,Compañía
Coton de Tulear,No,12,15,6,6,"The Coton de Tulear is a small, fluffy breed with a cotton-like coat that is soft and hypoallergenic. It is known for its friendly and playful personality.",13.5,6.0,Alta,Pequeño,General
Croatian Sheepdog,No,12,15,22,22,"The Croatian Sheepdog is a medium-sized breed of dog that was originally bred in Croatia for herding and guarding livestock. They are intelligent, loyal, and protective, and make excellent working dogs.",13.5,22.0,Alta,Mediano,Guardián
Curly-Coated Retriever,No,12,14,34,32,"The Curly-Coated Retriever is a large breed of retrieving dog from England. These dogs are large in size, with a curly coat of fur. They have a dignified and energetic demeanor, making them excellent working dogs. They are highly intelligent and trainable, with an instinct to retrieve game. They are loyal and devoted to their family, with an independent nature that makes them well suited for retrieving and guard work.",13.0,33.0,Media,Grande,Guardián
Czechoslovakian Vlcak,No,12,14,30,30,"The Czechoslovakian Vlcak is an intelligent and alert breed with an athletic build and a thick, coarse coat. They are an intelligent and highly trainable working dog that is used in many different roles, including as a guard dog, search and rescue, and police dog. The Czech Vlcak is also known for its outstanding loyalty and devotion to its owners.",13.0,30.0,Media,Grande,Guardián
Dachshund,No,12,15,9,9,"The Dachshund is a small and playful breed of dog that was originally bred in Germany for hunting small game. They are intelligent, independent, and affectionate, and make excellent companion dogs.",13.5,9.0,Alta,Pequeño,Cazador
Dalmatian,No,11,13,32,32,"The Dalmatian is a medium-sized breed that originated in Croatia. They have a short, dense coat, and come in a variety of colors. They are an active and energetic breed, and need plenty of exercise and mental stimulation. They are loyal and devoted to their owners, and make good family companions.",12.0,32.0,Media,Grande,Compañía
Dandie Dinmont Terrier,No,12,14,11,11,"The Dandie Dinmont Terrier is a small and playful breed of dog that was originally bred in Scotland for hunting small game. They are intelligent, independent, and affectionate, and make excellent companion dogs.",13.0,11.0,Media,Mediano,Cazador
Danish-Swedish Farmdog,No,12,14,15,15,"The Danish-Swedish Farmdog is a small, energetic herding breed with a short, smooth coat and a keen intelligence.",13.0,15.0,Media,Mediano,General
Deutscher Wachtelhund,No,12,14,20,20,"The Deutscher Wachtelhund is a versatile gundog from Germany. They are strong, lively, and intelligent, and make excellent hunting and family companions. Deutscher Wachtelhunds have a short, dense coat that is usually black and white in color. They are active and require plenty of exercise and mental stimulation to remain healthy and happy.",13.0,20.0,Media,Mediano,Cazador
Doberman Pinscher,No,10,13,40,35,"The Doberman Pinscher is a large and powerful breed of dog that was originally bred in Germany for guarding and protecting property. They are intelligent, loyal, and protective, and make excellent guard dogs.",11.5,37.5,Media,Grande,Guardián
Dogo Argentino,No,10,12,45,45,"The Dogo Argentino is a large breed of dog that originated in Argentina. It is a powerful and athletic breed, with a short, white coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Dogo Argentino is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",11.0,45.0,Media,Grande,Compañía
Dogue de Bordeaux,No,8,10,70,70,"The Dogue de Bordeaux is a large breed of dog that originated in France. It is a powerful and athletic breed, with a short, smooth coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Dogue de Bordeaux is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",9.0,70.0,Corta,Gigante,Compañía
Drentsche Patrijshond,No,12,14,22,22,"The Drentsche Patrijshond is a medium-sized breed of dog that was originally bred in the Netherlands for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",13.0,22.0,Media,Mediano,Cazador
Drever,No,12,14,15,15,"The Drever is a small and agile breed of dog that was originally bred in Sweden for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",13.0,15.0,Media,Mediano,Cazador
Dutch Shepherd,No,12,14,40,35,"The Dutch Shepherd is a medium-sized, athletic breed that is known for its intelligence, loyalty, and trainability. This breed is native to the Netherlands, where it was originally used as a herding and guarding dog.",13.0,37.5,Media,Grande,Guardián
English Cocker Spaniel,No,12,14,16,16,"The English Cocker Spaniel is a medium-sized breed of dog that was originally bred in England for hunting small game. They are intelligent, friendly, and eager to please, and make excellent hunting dogs.",13.0,16.0,Media,Mediano,Cazador
English Foxhound,No,12,15,29,27,"The English Foxhound is a medium-sized hound breed that was historically used for hunting foxes. It is an active and energetic breed that is friendly and even-tempered, and is considered to be a very intelligent and obedient breed. The English Foxhound stands between 21-25 inches at the shoulder and has a short to medium-length coat that can come in a variety of colors.",13.5,28.0,Alta,Grande,Cazador
English Setter,No,12,14,30,30,"The English Setter is a large, gentle breed of gundog with a distinctive silky, wavy coat and a calm, intelligent disposition.",13.0,30.0,Media,Grande,General
English Springer Spaniel,No,12,14,17,17,"The English Springer Spaniel is a medium-sized breed of dog that was originally bred in England for flushing and retrieving game. They are intelligent, energetic, and eager to please, and make excellent hunting dogs.",13.0,17.0,Media,Mediano,Cazador
English Toy Spaniel,No,14,16,5,5,"The English Toy Spaniel is a small and playful breed of dog that was originally bred in England as a companion dog. They are intelligent, affectionate, and loyal, and make excellent family pets.",15.0,5.0,Alta,Pequeño,Compañía
Entlebucher Mountain Dog,No,12,14,30,30,The Entlebucher Mountain Dog is a medium-sized dog breed that originated in Switzerland. They are known for their intelligence and loyalty.,13.0,30.0,Media,Grande,General
